ID;POND;AGE_REV;SEXE_1;SEXE_2;STAT_CONJ_A;STAT_CONJ_B;NATIO_***;NATIO_000;NATIO_001;NATIO_1ES;NATIO_1IT;NATIO_1PT;NATIO_2**;NATIO_3**;NATIO_3DZ;NATIO_3MA;NATIO_3TN;NATIO_4TR;DIPL_*;DIPL_A;DIPL_B;DIPL_C;DIPL_D;TYP_ACT_1;TYP_ACT_2;TYP_ACT_3;TYP_ACT_4;TYP_ACT_5;TYP_ACT_6;NES4_1;NES4_2;NES4_3;NES4_4;NES4_9;CSP_1;CSP_2;CSP_3;CSP_4;CSP_5;CSP_6;CSP_8;CSP_9;CLUSTER
1968-01;2484.0;73504.0;1400.0;1084.0;1088.0;1396.0;0.0;2476.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;612.0;1424.0;196.0;152.0;100.0;1344.0;64.0;196.0;60.0;88.0;732.0;0.0;316.0;92.0;936.0;1140.0;0.0;28.0;116.0;168.0;612.0;484.0;88.0;988.0;0
1968-02;3432.0;110732.0;1936.0;1496.0;1648.0;1784.0;0.0;3428.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;652.0;2160.0;268.0;180.0;172.0;1940.0;100.0;320.0;72.0;184.0;816.0;4.0;408.0;92.0;1436.0;1492.0;0.0;60.0;160.0;216.0;944.0;656.0;184.0;1212.0;0
1968-03;448.0;15040.0;204.0;244.0;252.0;196.0;0.0;444.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;108.0;252.0;44.0;16.0;28.0;220.0;0.0;36.0;4.0;36.0;152.0;0.0;36.0;12.0;172.0;228.0;0.0;12.0;24.0;36.0;100.0;48.0;36.0;192.0;0
1968-04;1448.0;44348.0;740.0;708.0;628.0;820.0;4.0;1428.0;8.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;344.0;852.0;124.0;68.0;60.0;640.0;24.0;152.0;72.0;88.0;472.0;4.0;120.0;52.0;464.0;808.0;4.0;4.0;52.0;68.0;352.0;184.0;88.0;696.0;0
1968-05;84.0;4432.0;44.0;40.0;44.0;40.0;0.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;60.0;8.0;4.0;8.0;36.0;0.0;0.0;0.0;20.0;28.0;0.0;12.0;8.0;16.0;48.0;0.0;0.0;0.0;20.0;8.0;8.0;20.0;28.0;0
1968-09;132.0;2564.0;88.0;44.0;16.0;116.0;0.0;128.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;96.0;32.0;4.0;0.0;0.0;32.0;4.0;16.0;0.0;0.0;80.0;0.0;4.0;0.0;28.0;100.0;0.0;4.0;0.0;0.0;8.0;24.0;0.0;96.0;0
1968-0X;96.0;2724.0;68.0;28.0;32.0;64.0;0.0;88.0;0.0;0.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;40.0;52.0;0.0;0.0;4.0;36.0;8.0;16.0;4.0;0.0;32.0;0.0;4.0;0.0;32.0;60.0;0.0;0.0;0.0;4.0;16.0;24.0;0.0;52.0;0
1968-11;589652.0;17584620.0;281808.0;307844.0;241884.0;347768.0;416.0;576044.0;3624.0;1656.0;1568.0;908.0;936.0;128.0;3620.0;400.0;340.0;12.0;224664.0;257600.0;53708.0;31408.0;22272.0;231224.0;6592.0;33528.0;3024.0;46240.0;269044.0;6392.0;79704.0;18748.0;126380.0;358428.0;3968.0;22340.0;22844.0;44432.0;70408.0;73592.0;46240.0;305828.0;1
1968-24;188628.0;7012616.0;93796.0;94832.0;96148.0;92480.0;8.0;187420.0;440.0;300.0;40.0;184.0;104.0;0.0;80.0;44.0;8.0;0.0;46696.0;118840.0;13480.0;6148.0;3464.0;83644.0;1324.0;8884.0;1120.0;23924.0;69732.0;16040.0;23316.0;9848.0;34440.0;104984.0;11968.0;9340.0;3260.0;8968.0;18656.0;32732.0;23924.0;79780.0;2
1968-27;263120.0;9034884.0;129200.0;133920.0;120092.0;143028.0;8.0;260396.0;928.0;364.0;532.0;180.0;268.0;4.0;424.0;12.0;4.0;0.0;85948.0;142112.0;20172.0;9324.0;5564.0;98060.0;1444.0;18624.0;1292.0;28268.0;115432.0;15168.0;29868.0;8712.0;44312.0;165060.0;13012.0;9584.0;4880.0;12900.0;23584.0;35496.0;28268.0;135396.0;2
