ID;POND;AGE_REV;SEXE_1;SEXE_2;STAT_CONJ_A;STAT_CONJ_B;NATIO_***;NATIO_000;NATIO_001;NATIO_1ES;NATIO_1IT;NATIO_1PT;NATIO_2**;NATIO_3**;NATIO_3DZ;NATIO_3MA;NATIO_3TN;NATIO_4TR;DIPL_*;DIPL_A;DIPL_B;DIPL_C;DIPL_D;TYP_ACT_1;TYP_ACT_2;TYP_ACT_3;TYP_ACT_4;TYP_ACT_5;TYP_ACT_6;NES4_1;NES4_2;NES4_3;NES4_4;NES4_9;CSP_1;CSP_2;CSP_3;CSP_4;CSP_5;CSP_6;CSP_8;CSP_9;CLUSTER
1968-11;917876.0;31484844.0;441212.0;476664.0;446268.0;471608.0;3716.0;808436.0;29656.0;13960.0;10316.0;11816.0;12976.0;1904.0;16984.0;3864.0;3848.0;400.0;250960.0;488420.0;82928.0;52708.0;42860.0;432512.0;12632.0;47032.0;3604.0;82000.0;340096.0;5748.0;138292.0;38240.0;250232.0;485364.0;2536.0;34980.0;42700.0;74816.0;144100.0;145640.0;82000.0;391104.0;0
1968-24;194184.0;7068212.0;98152.0;96032.0;98140.0;96044.0;108.0;186476.0;2036.0;1568.0;424.0;2016.0;904.0;48.0;404.0;152.0;48.0;0.0;51252.0;121156.0;12528.0;6336.0;2912.0;82584.0;1380.0;9448.0;1092.0;24036.0;75644.0;17676.0;22832.0;10956.0;31120.0;111600.0;12976.0;8704.0;2760.0;9204.0;15896.0;34376.0;24036.0;86232.0;2
1968-27;261144.0;8735308.0;130332.0;130812.0;117456.0;143688.0;52.0;245856.0;4728.0;1796.0;2676.0;2024.0;2088.0;40.0;1556.0;240.0;56.0;32.0;88876.0;141496.0;18756.0;8004.0;4012.0;94436.0;1444.0;18636.0;1288.0;26572.0;118768.0;16204.0;30308.0;10364.0;37560.0;166708.0;13496.0;9280.0;3396.0;10860.0;19792.0;39036.0;26572.0;138712.0;2
1968-28;319584.0;9679472.0;144760.0;174824.0;131596.0;187988.0;104.0;313784.0;1900.0;564.0;508.0;524.0;1208.0;184.0;624.0;136.0;40.0;8.0;121188.0;167820.0;18740.0;8044.0;3792.0;118104.0;1780.0;23912.0;3356.0;24208.0;148224.0;26716.0;34268.0;12868.0;44252.0;201480.0;21276.0;11596.0;3792.0;12368.0;21184.0;49584.0;24208.0;175576.0;2
1968-32;532400.0;17407540.0;283180.0;249220.0;247224.0;285176.0;136.0;495136.0;14680.0;1584.0;3488.0;2012.0;8228.0;120.0;5604.0;1332.0;60.0;20.0;168772.0;305480.0;34748.0;16216.0;7184.0;209336.0;4636.0;35624.0;3000.0;51372.0;228432.0;20028.0;86996.0;18256.0;84056.0;323064.0;13896.0;19472.0;7560.0;24288.0;45012.0;103296.0;51372.0;267504.0;1
1968-44;484516.0;15824296.0;242208.0;242308.0;222712.0;261804.0;268.0;440788.0;15756.0;3048.0;11904.0;1848.0;5804.0;172.0;4356.0;404.0;116.0;52.0;147388.0;272240.0;39920.0;16872.0;8096.0;191048.0;2760.0;26380.0;3576.0;39576.0;221176.0;24324.0;64640.0;20252.0;81832.0;293468.0;19916.0;15056.0;7684.0;22160.0;44716.0;84072.0;39576.0;251336.0;1
1968-52;266496.0;8295176.0;125416.0;141080.0;109396.0;157100.0;40.0;264356.0;732.0;344.0;144.0;212.0;332.0;56.0;184.0;40.0;28.0;28.0;97816.0;139020.0;18356.0;7796.0;3508.0;106396.0;1336.0;16556.0;1640.0;24188.0;116380.0;31096.0;27720.0;11280.0;36300.0;160100.0;25796.0;10092.0;3312.0;11168.0;16572.0;40776.0;24188.0;134592.0;2
1968-53;221508.0;8256820.0;107124.0;114384.0;107796.0;113712.0;44.0;220196.0;544.0;176.0;96.0;84.0;140.0;88.0;76.0;36.0;28.0;0.0;53016.0;144248.0;13160.0;7752.0;3332.0;98284.0;1436.0;11536.0;1592.0;30256.0;78404.0;34164.0;13972.0;10728.0;39420.0;123224.0;29900.0;10872.0;3292.0;8700.0;15844.0;31036.0;30256.0;91608.0;2
1968-75;474308.0;17795264.0;230980.0;243328.0;232748.0;241560.0;160.0;453780.0;7264.0;6280.0;2084.0;2396.0;1496.0;140.0;460.0;200.0;40.0;8.0;122676.0;297628.0;29492.0;16436.0;8076.0;193704.0;3128.0;20696.0;2544.0;63800.0;190436.0;55032.0;39272.0;21200.0;78200.0;280604.0;44388.0;21672.0;7088.0;17396.0;38472.0;67712.0;63800.0;213780.0;1
1968-76;387544.0;14537764.0;193500.0;194044.0;193664.0;193880.0;244.0;344120.0;16816.0;17060.0;4020.0;1476.0;1164.0;120.0;1824.0;552.0;140.0;8.0;107980.0;237652.0;20000.0;14076.0;7836.0;142140.0;2984.0;29444.0;1472.0;42136.0;169368.0;39384.0;26240.0;16552.0;59964.0;245404.0;31168.0;15496.0;6240.0;16236.0;26096.0;49512.0;42136.0;200660.0;1
1968-84;588472.0;19280312.0;271472.0;317000.0;262532.0;325940.0;552.0;536316.0;15260.0;7376.0;12156.0;4036.0;3488.0;200.0;7796.0;556.0;656.0;80.0;191176.0;322340.0;40632.0;21880.0;12444.0;237744.0;3764.0;47776.0;3940.0;48532.0;246716.0;39408.0;81376.0;25004.0;91956.0;350728.0;34460.0;24464.0;10340.0;29280.0;46016.0;96752.0;48532.0;298628.0;1
1968-93;315980.0;11881148.0;161508.0;154472.0;164216.0;151764.0;904.0;264960.0;23676.0;6544.0;8436.0;564.0;2688.0;140.0;6408.0;468.0;1104.0;88.0;74328.0;196672.0;22284.0;13900.0;8796.0;123836.0;5976.0;17420.0;1244.0;31720.0;135784.0;13108.0;25096.0;17164.0;68468.0;192144.0;9216.0;16264.0;7252.0;14948.0;32756.0;49024.0;31720.0;154800.0;2
