ID;POND;AGE_REV;SEXE_1;SEXE_2;STAT_CONJ_A;STAT_CONJ_B;NATIO_***;NATIO_000;NATIO_001;NATIO_1ES;NATIO_1IT;NATIO_1PT;NATIO_2**;NATIO_3**;NATIO_3DZ;NATIO_3MA;NATIO_3TN;NATIO_4TR;DIPL_*;DIPL_A;DIPL_B;DIPL_C;DIPL_D;TYP_ACT_1;TYP_ACT_2;TYP_ACT_3;TYP_ACT_4;TYP_ACT_5;TYP_ACT_6;NES4_1;NES4_2;NES4_3;NES4_4;NES4_9;CSP_1;CSP_2;CSP_3;CSP_4;CSP_5;CSP_6;CSP_8;CSP_9;CLUSTER
1968-1;32608.0;1177512.0;15560.0;17048.0;16380.0;16228.0;36.0;29440.0;896.0;600.0;644.0;304.0;372.0;4.0;228.0;56.0;28.0;0.0;8132.0;20592.0;2276.0;1088.0;520.0;14000.0;100.0;2308.0;500.0;3308.0;12392.0;3340.0;3900.0;1824.0;4936.0;18608.0;2960.0;1648.0;472.0;1440.0;2072.0;5508.0;3308.0;15200.0;1
1968-10;26332.0;859356.0;11376.0;14956.0;11544.0;14788.0;16.0;24768.0;564.0;168.0;172.0;152.0;372.0;4.0;92.0;24.0;0.0;0.0;8616.0;14772.0;1872.0;732.0;340.0;12388.0;124.0;1976.0;56.0;2516.0;9272.0;1556.0;5028.0;1552.0;4252.0;13944.0;1000.0;980.0;420.0;1336.0;2224.0;6552.0;2516.0;11304.0;1
1968-11;29188.0;1240452.0;12776.0;16412.0;16424.0;12764.0;0.0;25100.0;1808.0;1768.0;220.0;20.0;88.0;0.0;152.0;28.0;4.0;0.0;6532.0;20108.0;1096.0;980.0;472.0;8944.0;128.0;2024.0;52.0;3628.0;14412.0;2668.0;1212.0;1028.0;4036.0;20244.0;1396.0;1148.0;348.0;964.0;1536.0;3648.0;3628.0;16520.0;1
1968-12;27000.0;1038360.0;15996.0;11004.0;13828.0;13172.0;4.0;25948.0;388.0;332.0;28.0;216.0;40.0;16.0;16.0;4.0;4.0;4.0;7004.0;17496.0;1220.0;956.0;324.0;11064.0;104.0;412.0;32.0;2516.0;12872.0;4364.0;2152.0;1040.0;3508.0;15936.0;4048.0;1140.0;240.0;1068.0;1328.0;3308.0;2516.0;13352.0;1
1968-13;131096.0;4965232.0;68992.0;62104.0;69340.0;61756.0;640.0;108944.0;9840.0;3012.0;2620.0;148.0;864.0;108.0;4048.0;216.0;588.0;68.0;28076.0;82196.0;10776.0;6020.0;4028.0;54836.0;3172.0;8840.0;864.0;10744.0;52640.0;3592.0;12256.0;6740.0;32248.0;76260.0;2208.0;6016.0;3600.0;7236.0;15024.0;23672.0;10744.0;62596.0;0
1968-14;47748.0;1629992.0;20500.0;27248.0;23384.0;24364.0;32.0;46640.0;400.0;124.0;100.0;96.0;248.0;12.0;72.0;16.0;8.0;0.0;13064.0;28848.0;3308.0;1464.0;1064.0;20156.0;352.0;6620.0;724.0;3764.0;16132.0;3656.0;5728.0;2556.0;8216.0;27592.0;2268.0;2100.0;916.0;2364.0;3560.0;9284.0;3764.0;23492.0;1
1968-15;20936.0;631148.0;10780.0;10156.0;6648.0;14288.0;0.0;20640.0;96.0;72.0;28.0;48.0;36.0;0.0;16.0;0.0;0.0;0.0;9484.0;10220.0;548.0;480.0;204.0;6496.0;100.0;2976.0;16.0;1384.0;9964.0;3116.0;564.0;644.0;2172.0;14440.0;2316.0;644.0;168.0;460.0;1044.0;1960.0;1384.0;12960.0;1
1968-16;34520.0;1277528.0;14320.0;20200.0;18992.0;15528.0;0.0;33896.0;224.0;108.0;52.0;96.0;108.0;0.0;24.0;8.0;4.0;0.0;9392.0;21488.0;2108.0;1100.0;432.0;13632.0;164.0;724.0;56.0;4948.0;14996.0;4028.0;3552.0;1232.0;4820.0;20888.0;2968.0;1576.0;436.0;1104.0;2596.0;5112.0;4948.0;15780.0;1
1968-17;44140.0;1791744.0;20020.0;24120.0;26004.0;18136.0;12.0;43380.0;292.0;152.0;56.0;92.0;116.0;12.0;24.0;4.0;0.0;0.0;6560.0;32444.0;2804.0;1720.0;612.0;19652.0;284.0;784.0;124.0;6584.0;16712.0;6448.0;2908.0;2340.0;7956.0;24488.0;4884.0;2412.0;552.0;1792.0;4236.0;6044.0;6584.0;17636.0;1
1968-18;28484.0;1057896.0;15772.0;12712.0;15656.0;12828.0;4.0;27040.0;348.0;216.0;124.0;480.0;128.0;0.0;100.0;40.0;4.0;0.0;6236.0;18736.0;2092.0;1004.0;416.0;12992.0;156.0;720.0;264.0;3700.0;10652.0;2848.0;3964.0;1656.0;4524.0;15492.0;1928.0;1268.0;368.0;1208.0;2644.0;5732.0;3700.0;11636.0;1
