ID;POND;AGE_REV;SEXE_1;SEXE_2;STAT_CONJ_A;STAT_CONJ_B;NATIO_***;NATIO_000;NATIO_001;NATIO_1ES;NATIO_1IT;NATIO_1PT;NATIO_2**;NATIO_3**;NATIO_3DZ;NATIO_3MA;NATIO_3TN;NATIO_4TR;DIPL_*;DIPL_A;DIPL_B;DIPL_C;DIPL_D;TYP_ACT_1;TYP_ACT_2;TYP_ACT_3;TYP_ACT_4;TYP_ACT_5;TYP_ACT_6;NES4_1;NES4_2;NES4_3;NES4_4;NES4_9;CSP_1;CSP_2;CSP_3;CSP_4;CSP_5;CSP_6;CSP_8;CSP_9;CLUSTER
1968-01;1692.0;12133332.0;275796.0;238572.0;172584.0;341784.0;0.0;512676.0;1692.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181044.0;257184.0;42300.0;21996.0;11844.0;221652.0;28764.0;37224.0;15228.0;10152.0;201348.0;0.0;59220.0;15228.0;147204.0;292716.0;0.0;3384.0;8460.0;28764.0;106596.0;103212.0;10152.0;253800.0;0
1968-02;2108.0;20862876.0;455328.0;396304.0;335172.0;516460.0;0.0;851632.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;259284.0;438464.0;90644.0;37944.0;25296.0;402628.0;21080.0;84320.0;31620.0;8432.0;303552.0;0.0;75888.0;21080.0;305660.0;449004.0;0.0;6324.0;23188.0;46376.0;210800.0;137020.0;8432.0;419492.0;0
1968-03;240.0;323520.0;6480.0;6720.0;4560.0;8640.0;0.0;12480.0;0.0;0.0;240.0;0.0;240.0;240.0;0.0;0.0;0.0;0.0;5280.0;5040.0;1680.0;480.0;720.0;4800.0;480.0;1920.0;0.0;480.0;5520.0;0.0;720.0;480.0;3600.0;8400.0;0.0;0.0;720.0;480.0;3120.0;960.0;480.0;7440.0;0
1968-04;1284.0;8797968.0;172056.0;191316.0;139956.0;223416.0;0.0;359520.0;3852.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;121980.0;178476.0;30816.0;20544.0;11556.0;150228.0;10272.0;35952.0;17976.0;2568.0;146376.0;0.0;19260.0;17976.0;112992.0;213144.0;0.0;1284.0;16692.0;14124.0;79608.0;48792.0;2568.0;200304.0;0
1968-05;40.0;7360.0;200.0;200.0;120.0;280.0;0.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;0.0;0.0;280.0;40.0;0.0;40.0;40.0;40.0;0.0;40.0;0.0;0.0;320.0;0.0;0.0;0.0;40.0;360.0;0.0;0.0;40.0;0.0;0.0;0.0;0.0;360.0;0
1968-09;292.0;503992.0;10512.0;9344.0;9928.0;9928.0;0.0;19564.0;0.0;0.0;0.0;0.0;292.0;0.0;0.0;0.0;0.0;0.0;8176.0;6132.0;2628.0;1752.0;1168.0;7008.0;292.0;1752.0;0.0;292.0;10512.0;0.0;1460.0;584.0;4964.0;12848.0;0.0;0.0;1752.0;584.0;2920.0;2044.0;292.0;12264.0;0
1968-0X;32.0;8192.0;192.0;64.0;96.0;160.0;0.0;256.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.0;160.0;0.0;0.0;0.0;64.0;0.0;0.0;0.0;32.0;160.0;32.0;0.0;0.0;32.0;192.0;32.0;0.0;32.0;0.0;0.0;0.0;32.0;160.0;0
1968-11;868036.0;3491001214064.0;43852310684.0;40223920204.0;52715826280.0;31360404608.0;385407984.0;75362885520.0;3096284412.0;885396720.0;1074628568.0;412317100.0;1169244492.0;122393076.0;999977472.0;246522224.0;270827232.0;50346088.0;7332300092.0;50428551420.0;11805289600.0;7826212576.0;6683877200.0;54176730868.0;1947872784.0;2124952128.0;268223124.0;8228981280.0;17329470704.0;848071172.0;17802550324.0;4912215724.0;30613893648.0;29899500020.0;399296560.0;5670879188.0;6519818396.0;11420749652.0;15517011536.0;16530877584.0;8228981280.0;19788616692.0;2
1968-24;187444.0;120105867664.0;1537228244.0;1428885612.0;1725796908.0;1240316948.0;2624216.0;2801350580.0;56608088.0;31303148.0;16495072.0;15557852.0;30928260.0;374888.0;7872648.0;1874440.0;1124664.0;0.0;367952572.0;1902931488.0;359142704.0;215748044.0;120339048.0;1705178068.0;49297772.0;101219760.0;13121080.0;314343588.0;782953588.0;216310376.0;458113136.0;187444000.0;843310556.0;1260935788.0;123713040.0;225307688.0;113028732.0;271044024.0;408253032.0;611442328.0;314343588.0;898981424.0;0
1968-27;224556.0;163502367384.0;2174151192.0;1989341604.0;2364350124.0;1799142672.0;1796448.0;3770295240.0;159434760.0;49626876.0;70735140.0;20434596.0;59282784.0;1122780.0;25599384.0;4266564.0;898224.0;0.0;543425520.0;2518170984.0;560716332.0;332118324.0;209061636.0;2439351828.0;55240776.0;147982404.0;24027492.0;403078020.0;1093812276.0;234211908.0;749792484.0;269467200.0;1185880236.0;1724140968.0;147308736.0;316623960.0;170887116.0;442375320.0;573516024.0;842309556.0;403078020.0;1267394064.0;0
